id,R_grid,z_grid,phi_grid,mass
314,4.5,-1.5,2.6179938,79724660.0
315,5.5,-1.5,2.6179938,71256660.0
316,6.5,-1.5,2.6179938,60396656.0
317,7.5,-1.5,2.6179938,50112656.0
318,8.5,-1.5,2.6179938,39524656.0
319,9.5,-1.5,2.6179938,31840656.0
320,0.5,-0.49999994,2.6179938,96540660.0
321,1.5,-0.49999994,2.6179938,227552660.0
322,2.5,-0.49999994,2.6179938,286696640.0
323,3.5,-0.49999994,2.6179938,297756640.0
324,4.5,-0.49999994,2.6179938,283800640.0
325,5.5,-0.49999994,2.6179938,254188660.0
326,6.5,-0.49999994,2.6179938,219420660.0
327,7.5,-0.49999994,2.6179938,182068660.0
328,8.5,-0.49999994,2.6179938,150796660.0
329,9.5,-0.49999994,2.6179938,120736660.0
330,0.5,0.5,2.6179938,94728660.0
331,1.5,0.5,2.6179938,227680660.0
332,2.5,0.5,2.6179938,286400640.0
333,3.5,0.5,2.6179938,298228640.0
334,4.5,0.5,2.6179938,283356640.0
335,5.5,0.5,2.6179938,253692660.0
336,6.5,0.5,2.6179938,219692660.0
337,7.5,0.5,2.6179938,183192660.0
338,8.5,0.5,2.6179938,148632660.0
339,9.5,0.5,2.6179938,121220660.0
340,0.5,1.5,2.6179938,26812656.0
341,1.5,1.5,2.6179938,63268656.0
342,2.5,1.5,2.6179938,80400660.0
343,3.5,1.5,2.6179938,84308660.0
344,4.5,1.5,2.6179938,79920660.0
345,5.5,1.5,2.6179938,69400660.0
346,6.5,1.5,2.6179938,60508656.0
347,7.5,1.5,2.6179938,49432656.0
348,8.5,1.5,2.6179938,39864656.0
349,9.5,1.5,2.6179938,31272656.0
350,0.5,2.5,2.6179938,4875194.0
351,1.5,2.5,2.6179938,10810149.0
352,2.5,2.5,2.6179938,13417497.0
353,3.5,2.5,2.6179938,13785405.0
354,4.5,2.5,2.6179938,12005850.0
355,5.5,2.5,2.6179938,10054338.0
356,6.5,2.5,2.6179938,7878818.5
357,7.5,2.5,2.6179938,5939061.0
358,8.5,2.5,2.6179938,4511239.5
359,9.5,2.5,2.6179938,3471414.5
